packetSize, interArrivalTime
54.02890567,0.02851731
63.89886748,0.06847059
54.00347443,0.02400557
54.12276655,0.02463907
54.04017569,0.03296706
55.58611089,0.01253789
56.00079498,0.01662545
54.78006894,0.00771907
54.23608206,7.79841674e-05
54.95901341,0.02599852
54.29098901,0.00816235
54.03799881,0.02376342
63.09246962,0.01601753
54.81516494,0.00672212
54.12634,0.00561826
54.00120373,0.02310763
54.13029469,0.11718835
58.8482926,0.03081047
54.0575985,0.07231244
62.51036923,0.02491452
54.21969715,0.0161162
55.52005573,0.01861095
54.01205385,0.00631488
55.04310853,0.01339177
54.4333598,0.01539604
54.02161418,0.00326516
54.21838385,0.01431676
54.02960153,0.0066529
54.006073,0.01286367
54.26930081,0.03867289
54.1597103,0.01387246
61.75177332,0.00876335
54.13430919,0.01893371
54.56309336,0.01268474
56.61257434,0.0688442
54.01311812,0.01006675
54.18955551,0.03551409
54.10697725,0.05549087
76.53178227,0.01491113
57.52281889,0.0120546
67.4870965,0.01109139
54.19269547,0.00762369
54.00705772,0.01163087
54.05888564,0.00355222
54.14075582,0.1102161
54.57347154,0.00427991
81.79717551,0.01691567
54.99587043,0.00143746
54.07136056,0.0037935
54.11703811,0.05804614
55.82460982,0.10599258
55.22135775,0.00905981
55.45332968,0.00396864
54.11716103,0.00214319
57.07628679,0.00663094
54.48939539,0.00512234
54.22752148,0.02005611
54.18716075,0.02868366
58.70995982,0.00057311
182.24236823,0.006249
59.40832266,0.06983607
74.97399076,0.01606945
56.61054548,0.01209531
55.66288463,0.0008208
54.08893431,0.02008357
55.71390304,0.06072641
54.00003161,0.01670622
54.11084459,0.01298774
54.03794098,0.04267333
54.85080648,0.15729128
54.23955954,0.0401223
54.01143209,0.01698885
59.85796574,0.0402634
56.27079226,0.01165329
54.38182433,0.04709452
61.5045588,0.09628019
54.13443968,0.00608623
56.73223833,0.14960668
76.60496457,0.01329562
54.152062,0.02167587
57.01538099,0.03754133
67.16113415,0.00696216
54.09650389,0.02660622
54.18688167,0.00633555
90.11656421,0.01023143
54.00690438,0.00114522
54.001408,0.01575175
76.93572824,0.02627478
54.19173934,0.03373811
54.79372396,0.0160264
54.02684579,0.00048058
54.44421015,0.00672348
54.24128557,0.02364409
54.23413665,0.00715366
58.21368939,0.08682392
55.50764874,0.00593896
60.83184219,0.00576938
54.02050006,0.00935027
54.55000823,0.07650873
54.17087006,0.03638442
58.08692921,0.01181843
54.00278389,0.03057008
55.74023313,0.01391038
55.55952589,0.01113231
54.01158536,0.01358124
54.00036533,0.00377309
54.46613951,0.00400306
54.00004265,0.00724517
55.19872743,0.01863582
54.00227249,0.01912292
57.0787762,0.04523917
54.6564002,0.01005932
54.01630975,0.09948818
59.65989979,0.05561102
56.54413782,0.0235228
56.02609904,0.00358114
54.23665161,0.00689892
54.40870349,0.02519022
56.93243742,0.03700031
138.61369107,0.02405901
60.32474345,0.0217906
54.02060889,0.0137067
54.04913653,0.03316068
54.03162198,0.0045781
60.23084963,0.03733088
54.05682312,0.00556924
109.86915784,0.03877235
54.42733417,0.02416003
57.47129197,0.02068169
54.94024469,0.01696524
54.13456461,0.00696704
57.20511795,0.01332106
54.28102795,0.00839596
55.54511813,0.02167234
54.70797691,0.04784219
54.04350237,0.02497655
54.84055648,0.00994613
54.17036788,0.01225601
68.2524252,0.00852239
54.04435874,0.0016666
63.27716969,0.01097016
54.24577862,0.02942167
55.18250674,0.01160924
54.49169462,0.00320401
55.35903889,0.00477355
55.54548486,0.02095391
54.2099888,0.01264703
54.00642675,0.04507202
54.94786869,0.02260116
54.00011172,0.14316158
55.66067604,0.00309749
54.28818596,0.09652102
54.01733086,0.0256722
55.10811646,0.04857076
54.1806767,0.02312058
54.05107102,0.05819222
55.47412068,0.02059769
54.76850817,0.02237873
54.21822521,0.00514931
54.03819776,0.02346205
57.75626888,0.00598662
56.86584783,0.01872938
55.16300894,0.01495616
54.09484804,0.00073086
54.1405778,0.00759216
56.00775358,0.00033145
57.82304776,0.03536965
54.27251525,0.01666061
54.32572806,0.05799398
54.10492333,0.00874201
54.01734472,0.0108371
57.23391084,0.01253879
54.4389417,0.01110266
56.47864915,0.01754617
54.01472879,0.07015309
54.18696996,0.03999478
54.08599364,0.2313761
54.07146615,0.01388668
54.05473578,0.04322025
58.58508835,0.06589691
54.06067073,0.03902938
54.45661508,0.07319214
54.17547921,0.00676729
54.31824907,0.0006216
76.63741177,0.0508222
54.18057663,0.00106478
54.00034771,0.0001555
54.01826414,0.01544671
56.20537587,0.005415
54.0025189,0.01087462
54.05367175,0.0633943
54.00079295,0.00202249
54.14292276,0.00859799
54.76274795,0.01590047
54.55580753,0.02083736
56.85623427,0.01661767
54.00677568,0.05709166
59.62838509,0.05519345
92.58502228,0.01761372
54.14583394,0.00154592
54.13708307,0.01170924
54.03697956,0.02013298
54.58360129,0.00072065
54.67426618,0.01161329
54.02262316,0.0089283
54.1487447,0.00430367
55.68908787,0.07344606
54.07000311,0.00197824
54.25007809,0.02072613
55.73102671,0.04492163
54.77495158,0.00425942
54.29490524,0.00803178
54.85797102,0.03746463
54.13457819,0.00845307
54.1091608,0.0028245
54.10804648,0.00013992
54.6551887,0.01081946
54.39016595,0.06326277
54.21927786,0.00159969
54.81317093,0.00475391
55.8778703,0.01609945
54.02947187,0.00986699
54.81014604,0.03119225
54.03371424,0.23513133
60.94268747,0.03295636
55.53842251,0.02896262
61.55852814,0.01283173
55.41307474,0.0206712
54.0751393,0.03327949
54.19873041,0.00301605
55.27648468,0.02833796
54.33104985,0.01652663
58.59791793,0.02402511
63.23070748,0.01900163
54.24294164,0.0085199
64.93410941,0.00631581
54.16335862,0.03506772
54.06048293,0.00435041
55.02131812,0.01036166
54.00506986,0.00412311
54.20686029,0.0352813
54.44764823,0.01384924
54.46584426,0.12647526
54.48496053,0.01211362
54.00112725,0.00662428
58.29542873,0.00404308
55.66902077,0.01922678
54.00500882,0.03239247
54.31104655,0.00101834
54.00177503,0.01132752
54.18743974,0.00030996
57.62123085,0.00720782
55.72366409,0.00180638
54.12825562,0.03384275
57.0252109,0.0035634
54.97242457,0.00038329
55.31569048,0.01442713
55.08679632,0.13345161
54.30445098,0.00223847
54.74189737,0.22141899
54.06092654,0.00798626
54.08763304,0.02312696
66.21819683,0.2079383
54.64426038,0.05095925
56.32540199,0.00201088
54.44045512,0.02120001
54.04397556,0.04257256
54.04314518,0.02110059
54.14309059,0.00201425
54.78656153,0.02958602
54.0000958,0.00936721
54.00935104,0.06516612
54.47221431,0.00353488
55.77219135,0.00823082
54.38036031,0.00239645
54.29777972,0.0082
54.43369627,0.02079127
54.09133715,0.03026395
54.19181505,0.05481959
56.56680918,0.03545283
54.35779294,0.08371492
89.07678409,0.03891819
54.03645573,0.00431015
65.310279,0.00299735
54.46992871,0.01748037
54.09803165,0.01676644
55.06683833,0.00324168
55.8493398,0.00711151
54.26216292,0.00774812
54.60436863,0.00947743
55.01355227,0.0042846
56.1850069,0.00259618
54.09801193,0.12680396
54.16989555,0.01675288
55.1971952,0.0623575
56.01673299,0.02572352
64.51692957,0.00566298
54.23350716,0.008481
54.14479091,0.00417232
54.03169934,0.00026316
54.02312572,0.02181421
54.0183438,0.04990281
54.1934857,0.00193753
54.14576899,0.00939147
54.23690897,0.01121218
74.29723446,0.01733422
65.78959105,0.02805208
54.04247723,0.00217222
54.01491825,0.08137728
54.06306558,0.01808289
54.20734251,0.07647996
55.1740572,0.09426396
54.0939132,0.00418935
54.07904446,0.01312783
54.05470312,0.00264352
85.18195383,0.02830218
54.04077879,0.02198625
54.63595047,0.00504723
54.78124642,0.15781651
79.1770438,0.00457772
54.01766261,0.00807855
54.48259376,0.00616314
56.06017825,0.00844613
55.97697262,0.02062542
54.2599276,0.00932037
59.30445011,0.00141228
54.29956735,0.03366395
69.71125725,0.03124861
56.692354,0.02143084
58.18296787,0.00734874
54.45446611,0.05230396
67.17052801,0.01574895
54.5201645,0.03184403
64.54414058,0.00054779
54.53516876,0.05173034
79.94537139,0.01474185
54.021815,0.02571161
